engagement_id,user_id,campaign_id,opened,clicked,unsubscribe,open_time
1,3915,1,0,0,0,
2,2018,1,1,1,0,2024-06-15 07:00:00
3,1489,1,0,0,0,
4,4837,1,1,0,0,2024-08-19 13:00:00
5,1798,1,1,0,0,2024-09-18 16:00:00
6,3481,1,1,0,0,2024-08-06 07:00:00
7,428,1,1,0,0,2024-09-11 19:00:00
8,2414,1,1,0,0,2024-03-26 07:00:00
9,4876,1,1,0,0,2024-02-23 15:00:00
10,4469,1,1,1,0,2024-02-18 11:00:00
11,1869,1,1,0,0,2024-04-20 13:00:00
12,2385,1,1,1,0,2024-05-06 16:00:00
13,3231,1,1,0,1,2024-02-08 16:00:00
14,1268,1,0,0,0,
15,2113,1,0,0,0,
16,3034,1,1,0,0,2024-06-10 13:00:00
17,2762,1,0,0,0,
18,4231,1,1,0,0,2024-03-01 16:00:00
19,3533,1,1,0,1,2024-01-15 15:00:00
20,338,1,1,1,0,2024-03-03 16:00:00
21,4655,1,1,1,0,2024-09-02 13:00:00
22,1797,1,1,1,0,2024-01-11 10:00:00
23,3966,1,1,0,0,2024-08-29 20:00:00
24,3018,1,0,0,0,
25,1799,1,0,0,0,
26,1569,1,0,0,0,
27,818,1,1,0,1,2024-04-26 17:00:00
28,1945,1,1,0,0,2024-04-01 07:00:00
29,2478,1,1,1,0,2024-09-16 16:00:00
30,1570,1,1,0,0,2024-05-12 19:00:00
31,991,1,1,0,0,2024-08-04 15:00:00
32,4078,1,1,1,0,2024-04-21 17:00:00
33,4469,1,0,0,0,
34,4154,1,1,0,0,2024-05-10 10:00:00
35,1918,1,0,0,0,
36,2988,1,1,0,0,2024-07-06 14:00:00
37,1549,1,0,0,0,
38,3773,1,1,1,0,2024-05-26 17:00:00
39,4381,1,0,0,0,
40,3585,1,1,1,0,2024-08-25 09:00:00
41,357,1,1,0,0,2024-07-30 07:00:00
42,3356,1,1,0,0,2024-06-12 12:00:00
43,2323,1,0,0,0,
44,2731,1,1,0,0,2024-03-28 19:00:00
45,571,1,1,0,0,2024-07-11 15:00:00
46,2175,1,0,0,0,
47,473,1,1,1,0,2024-01-28 07:00:00
48,4737,1,1,1,0,2024-02-28 14:00:00
49,1286,1,1,0,0,2024-04-10 16:00:00
50,4015,1,0,0,0,
51,4611,1,1,0,0,2024-02-04 12:00:00
52,3404,1,1,1,0,2024-08-13 08:00:00
53,3637,1,1,1,0,2024-03-27 17:00:00
