user_id,signup_date,device_type,region,is_active
1,10/1/2023,desktop,South America,0
2,9/7/2023,mobile,Europe,0
3,6/12/2023,desktop,Europe,0
4,2/27/2024,desktop,Asia,0
5,6/13/2024,desktop,Europe,1
6,3/7/2024,desktop,South America,1
7,2/15/2023,mobile,Asia,1
8,10/26/2023,tablet,Asia,1
9,3/27/2023,desktop,Asia,1
10,2/6/2024,tablet,Europe,0
11,8/10/2024,desktop,Europe,0
12,5/5/2024,desktop,North America,0
13,8/28/2023,tablet,Asia,1
14,7/19/2024,tablet,Europe,1
15,12/30/2023,tablet,South America,0
16,9/9/2023,mobile,Asia,0
17,6/2/2023,tablet,North America,0
18,5/1/2024,mobile,South America,0
19,7/27/2024,desktop,South America,1
20,2/23/2024,mobile,North America,1
21,5/24/2024,tablet,Asia,0
22,5/10/2024,desktop,South America,1
23,4/1/2023,mobile,Europe,1
24,4/20/2024,desktop,South America,1
25,8/10/2024,tablet,North America,1
26,2/6/2024,desktop,South America,1
27,2/21/2024,mobile,Asia,0
28,9/22/2023,mobile,Asia,1
29,6/2/2023,tablet,Asia,1
30,8/25/2023,tablet,Europe,0
31,1/13/2024,mobile,Asia,1
32,11/4/2023,mobile,Asia,1
33,9/17/2023,mobile,South America,1
34,3/3/2024,tablet,South America,0
35,5/10/2023,tablet,North America,0
36,10/30/2023,mobile,South America,1
37,3/24/2023,mobile,Europe,0
38,7/5/2024,tablet,Europe,1
39,12/1/2023,tablet,Asia,1
40,12/8/2023,desktop,Europe,1
41,9/18/2023,desktop,Asia,1
42,8/2/2024,mobile,South America,1
43,12/22/2023,mobile,North America,1
44,6/27/2023,mobile,North America,1
45,3/8/2024,desktop,North America,1
46,5/17/2024,mobile,Asia,1
47,12/1/2023,desktop,North America,0
48,1/1/2024,mobile,Asia,0
49,5/9/2024,desktop,South America,1
50,11/24/2023,desktop,Asia,0
51,6/30/2023,mobile,Europe,0
52,5/19/2023,tablet,Asia,1
53,8/2/2024,tablet,Europe,0
54,7/2/2024,desktop,Europe,0
55,5/20/2024,desktop,Europe,1
56,5/7/2023,tablet,North America,1
57,11/11/2023,mobile,Europe,1
58,1/2/2024,tablet,Europe,0
59,6/7/2023,tablet,North America,1
60,9/30/2023,desktop,South America,1
61,7/26/2023,mobile,Europe,0
62,6/28/2024,mobile,Europe,0
63,4/8/2024,mobile,Asia,0
64,3/15/2024,tablet,South America,1
65,12/1/2023,mobile,South America,0
66,8/17/2024,tablet,South America,0
67,2/11/2024,tablet,South America,1
68,11/20/2023,desktop,South America,0
69,12/7/2023,tablet,South America,1
70,1/23/2024,tablet,North America,0
71,5/2/2024,desktop,Europe,1
72,8/22/2024,desktop,Asia,1
73,11/22/2023,mobile,North America,0
74,4/27/2024,tablet,North America,0
75,6/15/2023,desktop,Europe,0
76,12/27/2023,desktop,Europe,0
77,8/13/2023,mobile,Europe,0
78,7/6/2024,tablet,Asia,1
79,3/16/2024,tablet,North America,1
80,4/16/2024,tablet,Asia,1
81,7/19/2024,tablet,Asia,0
82,1/3/2024,mobile,Europe,0
83,4/29/2024,mobile,Europe,1
84,6/17/2023,desktop,Asia,0
85,3/20/2024,mobile,North America,0
86,4/18/2024,tablet,Europe,1
87,6/18/2023,mobile,Asia,1
88,2/5/2023,mobile,Asia,0
89,1/31/2023,desktop,Asia,1
90,5/21/2023,tablet,Asia,1
91,5/25/2023,desktop,South America,1
92,5/15/2023,desktop,Asia,1
93,8/7/2023,tablet,Europe,0
94,11/24/2023,tablet,Asia,0
95,8/10/2024,tablet,South America,0
96,7/4/2024,mobile,North America,0
97,9/13/2023,desktop,North America,0
98,1/17/2023,mobile,Europe,0
99,6/10/2024,desktop,Asia,0
100,5/24/2023,tablet,Europe,1
101,3/30/2024,mobile,Europe,1
102,9/8/2023,desktop,South America,0
103,9/3/2023,mobile,Asia,1
104,4/21/2024,mobile,North America,0
105,2/1/2023,mobile,North America,1
106,9/7/2023,tablet,Asia,1
107,5/3/2023,mobile,North America,1
108,12/28/2023,mobile,South America,1
109,2/14/2023,tablet,Europe,1
110,11/17/2023,tablet,South America,1
111,4/21/2024,mobile,Europe,0
112,8/15/2023,mobile,North America,0
113,12/25/2023,desktop,Asia,1
114,4/27/2023,tablet,North America,0
115,9/16/2023,desktop,Europe,0
116,7/14/2024,mobile,Europe,0
117,3/30/2023,mobile,Asia,0
118,7/8/2023,desktop,Asia,1
119,4/12/2024,tablet,Asia,1
120,2/17/2024,desktop,North America,0
121,5/17/2023,mobile,South America,1
122,1/29/2024,tablet,Europe,1
123,6/5/2024,desktop,South America,1
124,2/13/2023,mobile,Asia,1
125,1/21/2023,mobile,Asia,1
126,3/26/2024,tablet,North America,1
127,6/6/2023,mobile,South America,0
128,2/21/2024,desktop,Asia,0
129,8/3/2024,tablet,South America,0
130,2/1/2023,mobile,Europe,0
131,1/19/2024,desktop,South America,1
132,5/5/2023,desktop,North America,1
133,5/16/2024,desktop,South America,1
134,10/2/2023,desktop,South America,0
135,3/11/2023,mobile,North America,1
136,10/13/2023,tablet,Asia,1
137,4/17/2024,tablet,Asia,0
138,1/31/2024,tablet,South America,0
139,4/30/2023,mobile,South America,0
